Date,000001.SS,^BVSP,^FTSE,^GSPC,^GSPTSE,^HSI,^IBEX,^N225,^STOXX50E
2023-12-18,2930.800048828125,131084.0,7614.5,4740.56005859375,20622.69921875,16629.23046875,10054.900390625,32758.98046875,4521.1298828125
2023-12-19,2932.39111328125,131851.0,7638.0,4768.3701171875,20839.599609375,16505.0,10106.7001953125,33219.390625,4535.39990234375
2023-12-20,2902.110107421875,130804.0,7715.7001953125,4698.35009765625,20600.80078125,16613.810546875,10101.0,33675.94140625,4533.81982421875
2023-12-21,2918.715087890625,132182.0,7694.7001953125,4746.75,20765.69921875,16621.130859375,10104.2998046875,33140.46875,4524.85986328125
2023-12-22,2914.77490234375,132753.0,7697.5,4754.6298828125,20881.19921875,16340.41015625,10111.900390625,33169.05078125,4521.47021484375
2023-12-27,2914.614013671875,134194.0,7725.0,4781.580078125,21015.900390625,16624.83984375,10121.7998046875,33681.23828125,4528.3798828125
2023-12-28,2954.7041015625,134185.0,7722.7001953125,4783.35009765625,20929.400390625,17043.529296875,10086.2001953125,33539.62109375,4514.3798828125
2024-01-04,2954.34912109375,131226.0,7723.10009765625,4688.68017578125,20871.400390625,16645.98046875,10182.400390625,33288.2890625,4474.009765625
2024-01-05,2929.179931640625,132023.0,7689.60009765625,4697.240234375,20937.599609375,16535.330078125,10164.5,33377.421875,4463.509765625
2024-01-09,2893.25,131447.0,7684.0,4756.5,20971.0,16190.01953125,10060.2998046875,33763.1796875,4467.169921875
2024-01-10,2877.701904296875,130841.0,7651.7998046875,4783.4501953125,20989.400390625,16097.2802734375,10067.099609375,34441.71875,4468.97998046875
2024-01-11,2886.64990234375,130649.0,7576.60009765625,4780.240234375,20918.400390625,16302.0400390625,10004.900390625,35049.859375,4442.27978515625
2024-01-12,2881.97705078125,130988.0,7624.89990234375,4783.830078125,20990.19921875,16244.580078125,10094.7998046875,35577.109375,4480.02001953125
2024-01-16,2893.989013671875,129294.0,7558.2998046875,4765.97998046875,20948.099609375,15865.919921875,9994.099609375,35619.1796875,4446.509765625
2024-01-17,2833.614990234375,128524.0,7446.2998046875,4739.2099609375,20695.0,15276.900390625,9867.7998046875,35477.75,4403.080078125
2024-01-18,2845.780029296875,127316.0,7459.10009765625,4780.93994140625,20756.69921875,15391.7900390625,9880.2998046875,35466.171875,4453.0498046875
2024-01-19,2832.279052734375,127636.0,7461.89990234375,4839.81005859375,20906.5,15308.6904296875,9858.2998046875,35963.26953125,4448.830078125
2024-01-22,2756.340087890625,126602.0,7487.7001953125,4850.43017578125,20924.30078125,14961.1796875,9968.099609375,36546.94921875,4480.31982421875
2024-01-23,2770.97607421875,128263.0,7485.7001953125,4864.60009765625,21034.599609375,15353.98046875,9859.2001953125,36517.5703125,4465.91015625
2024-01-24,2820.77197265625,127816.0,7527.7001953125,4868.5498046875,21025.80078125,15899.8701171875,9974.0,36226.48046875,4564.10986328125
2024-01-25,2906.10888671875,128169.0,7529.7001953125,4894.16015625,21101.5,16211.9599609375,9916.599609375,36236.46875,4582.259765625
2024-01-26,2910.222900390625,128967.0,7635.10009765625,4890.97021484375,21125.30078125,15952.23046875,9936.599609375,35751.0703125,4635.47021484375
2024-01-29,2883.360107421875,128503.0,7632.7001953125,4927.93017578125,21200.099609375,16077.240234375,9890.2998046875,36026.94140625,4639.35986328125
2024-01-30,2830.527099609375,127402.0,7666.2998046875,4924.97021484375,21227.900390625,15703.4501953125,10039.2998046875,36065.859375,4662.7001953125
2024-01-31,2788.548095703125,127752.0,7630.60009765625,4845.64990234375,21021.900390625,15485.0703125,10077.7001953125,36286.7109375,4648.39990234375
